Date;High;Low;Close;ADX
02.10.2009;40.96;40.43;40.59;30.57
05.10.2009;41.11;40.54;40.92;28.65
06.10.2009;41.84;40.93;41.64;27.95
07.10.2009;41.78;41.48;41.76;27.3
08.10.2009;42.32;41.84;41.94;27.37
09.10.2009;42.25;41.76;42.18;27.27
12.10.2009;42.57;41.98;42.27;27.56
13.10.2009;42.45;42.07;42.28;27.83
14.10.2009;42.99;42.55;42.86;28.7
15.10.2009;42.82;42.57;42.76;29.51
16.10.2009;42.69;42.18;42.48;29.31
19.10.2009;42.96;42.29;42.91;29.48
20.10.2009;43.15;42.64;42.92;29.87
21.10.2009;43.51;42.76;42.84;30.65
22.10.2009;43.18;42.49;43;30.7
23.10.2009;43.42;42.72;42.83;31.04
26.10.2009;43.45;42.49;42.69;30.79
27.10.2009;42.81;41.88;42.04;29.26
28.10.2009;42.02;41.01;41.1;27.92
29.10.2009;41.89;41.25;41.79;26.67
30.10.2009;41.85;40.63;40.67;26.34
02.11.2009;41.28;40.35;40.84;26.36
03.11.2009;41.03;40.55;40.97;26.38
04.11.2009;41.57;40.99;41.04;25.33
05.11.2009;42.1;41.49;42.05;23.56
06.11.2009;42.35;41.78;42.3;22.3
09.11.2009;43.21;42.58;43.2;22.23
10.11.2009;43.46;43.09;43.31;22.45
11.11.2009;43.83;43.3;43.59;23.03
12.11.2009;43.85;43.24;43.34;23.45
13.11.2009;43.83;43.32;43.7;23.85
16.11.2009;44.34;43.81;44.15;24.77
17.11.2009;44.29;43.94;44.29;25.62
18.11.2009;44.18;43.74;44.04;25.95
19.11.2009;43.77;43.04;43.35;24.85
20.11.2009;43.24;42.97;43.13;23.71
23.11.2009;44.09;43.55;43.83;23.77
24.11.2009;43.84;43.42;43.68;23.58
25.11.2009;43.91;43.7;43.87;23.5
27.11.2009;43.52;42.6;43.2;22.08
30.11.2009;43.31;42.81;43.25;20.76
01.12.2009;43.99;43.57;43.7;19.99
02.12.2009;44.18;43.67;43.76;19.52
03.12.2009;44.19;43.57;43.58;18.91
04.12.2009;44.41;43.35;43.81;18.66
07.12.2009;43.98;43.51;43.6;18.43
08.12.2009;43.69;43.05;43.33;17.36
09.12.2009;43.81;43.01;43.77;16.56
10.12.2009;44.23;43.93;43.99;16.47
11.12.2009;44.28;43.64;43.82;15.83
14.12.2009;44.29;43.88;44.24;15.26
15.12.2009;44.35;43.86;43.99;14.84
16.12.2009;44.38;43.98;44.05;14.51
17.12.2009;43.9;43.45;43.51;13.83
18.12.2009;44.24;43.77;44.22;13.15
21.12.2009;44.89;44.43;44.72;13.56
22.12.2009;45.05;44.79;44.99;14.16
23.12.2009;45.33;44.97;45.32;15.1
24.12.2009;45.74;45.36;45.74;16.47
28.12.2009;46.05;45.7;45.98;18.09
29.12.2009;46.01;45.75;45.79;19.6
30.12.2009;46.02;45.72;45.93;20.92
31.12.2009;46.03;45.51;45.51;21.58
04.01.2010;46.24;46.03;46.17;22.48
05.01.2010;46.25;45.92;46.17;23.01
06.01.2010;46.3;45.83;45.9;23.26
07.01.2010;46.03;45.68;45.93;23.06
08.01.2010;46.3;45.69;46.3;23.36
11.01.2010;46.39;45.88;46.11;23.79
12.01.2010;45.9;45.29;45.54;22.63
13.01.2010;46.24;45.37;46.1;22.2
14.01.2010;46.27;45.98;46.14;21.84
15.01.2010;46.3;45.41;45.61;20.34
19.01.2010;46.39;45.71;46.34;19.02
20.01.2010;46.36;45.19;45.68;18.53
21.01.2010;46.1;45.06;45.25;18.3
22.01.2010;45.24;43.81;43.93;19.73
25.01.2010;44.36;43.89;44.08;21.06
26.01.2010;44.65;43.82;44.12;21.63
27.01.2010;44.61;43.78;44.46;22.2
28.01.2010;44.19;43.09;43.32;23.52
29.01.2010;43.79;42.4;42.56;25.35
01.02.2010;43.05;42.65;43.03;27.05
02.02.2010;43.55;42.8;43.42;27.48
03.02.2010;43.74;43.19;43.66;27.48
04.02.2010;43.43;42.39;42.39;28.32
05.02.2010;42.79;41.9;42.75;29.51
08.02.2010;42.95;42.41;42.44;30.29
09.02.2010;43.28;42.53;42.88;30.33
